[26-02-2022 18:56:20] | dev | INFO    | Classes have been mapped
[26-02-2022 18:56:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:56:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:56:20] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:56:20] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 18:56:20] | dev | INFO    | DELETE operation request ...
[26-02-2022 18:57:32] | dev | INFO    | Classes have been mapped
[26-02-2022 18:57:32] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:57:32] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:57:32] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:57:32] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 18:57:32] | dev | INFO    | DELETE operation request ...
[26-02-2022 18:57:57] | dev | INFO    | Classes have been mapped
[26-02-2022 18:57:57] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:57:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:57:58] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:58:10] | dev | INFO    | Classes have been mapped
[26-02-2022 18:58:10] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:58:10] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:58:11] | dev | INFO    | INSERT operation request ...
[26-02-2022 18:58:11] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 18:58:11] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:05:28] | dev | INFO    | Classes have been mapped
[26-02-2022 19:05:28] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:05:28] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:05:28] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:05:28] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:05:28] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:11:29] | dev | INFO    | Classes have been mapped
[26-02-2022 19:11:29] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:11:29] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:11:29] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:11:29] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:11:29] | dev | INFO    | DELETE operation request ...
[26-02-2022 19:17:18] | dev | INFO    | Classes have been mapped
[26-02-2022 19:17:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:17:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:17:18] | dev | INFO    | INSERT operation request ...
[26-02-2022 19:17:18] | dev | INFO    | SELECT ALL operation request ...
[26-02-2022 19:18:01] | dev | INFO    | Classes have been mapped
